"","center","Beta","mu_ID","mu_DS","eta","N","loglik"
"272",0.0833333333333333,3.31034482758621e-07,0.0103448275862069,0.25,1,192529,NA
"273",0.25,3.31034482758621e-07,0.0103448275862069,0.25,1,192529,NA
"274",1,3.31034482758621e-07,0.0103448275862069,0.25,1,192529,NA
"275",192529,3.31034482758621e-07,0.0103448275862069,0.25,1,192529,NA
"276",5e-08,3.44827586206897e-07,0.0103448275862069,0.25,1,192529,NA
"277",0.0833333333333333,3.44827586206897e-07,0.0103448275862069,0.25,1,192529,NA
"278",0.25,3.44827586206897e-07,0.0103448275862069,0.25,1,192529,NA
"279",1,3.44827586206897e-07,0.0103448275862069,0.25,1,192529,NA
"280",192529,3.44827586206897e-07,0.0103448275862069,0.25,1,192529,NA
"281",5e-08,3.58620689655172e-07,0.0103448275862069,0.25,1,192529,NA
"282",0.0833333333333333,3.58620689655172e-07,0.0103448275862069,0.25,1,192529,NA
"283",0.25,3.58620689655172e-07,0.0103448275862069,0.25,1,192529,NA
"284",1,3.58620689655172e-07,0.0103448275862069,0.25,1,192529,NA
"285",192529,3.58620689655172e-07,0.0103448275862069,0.25,1,192529,NA
"286",5e-08,3.72413793103448e-07,0.0103448275862069,0.25,1,192529,NA
"287",0.0833333333333333,3.72413793103448e-07,0.0103448275862069,0.25,1,192529,NA
"288",0.25,3.72413793103448e-07,0.0103448275862069,0.25,1,192529,NA
"289",1,3.72413793103448e-07,0.0103448275862069,0.25,1,192529,NA
"290",192529,3.72413793103448e-07,0.0103448275862069,0.25,1,192529,NA
"291",5e-08,3.86206896551724e-07,0.0103448275862069,0.25,1,192529,NA
"292",0.0833333333333333,3.86206896551724e-07,0.0103448275862069,0.25,1,192529,NA
"293",0.25,3.86206896551724e-07,0.0103448275862069,0.25,1,192529,NA
"294",1,3.86206896551724e-07,0.0103448275862069,0.25,1,192529,NA
"295",192529,3.86206896551724e-07,0.0103448275862069,0.25,1,192529,NA
"296",5e-08,4e-07,0.0103448275862069,0.25,1,192529,NA
"297",0.0833333333333333,4e-07,0.0103448275862069,0.25,1,192529,NA
"298",0.25,4e-07,0.0103448275862069,0.25,1,192529,NA
"299",1,4e-07,0.0103448275862069,0.25,1,192529,NA
"300",192529,4e-07,0.0103448275862069,0.25,1,192529,NA
"301",5e-08,0,0.0206896551724138,0.25,1,192529,NA
"302",0.0833333333333333,0,0.0206896551724138,0.25,1,192529,NA
"303",0.25,0,0.0206896551724138,0.25,1,192529,NA
"304",1,0,0.0206896551724138,0.25,1,192529,NA
"305",192529,0,0.0206896551724138,0.25,1,192529,NA
"306",5e-08,1.37931034482759e-08,0.0206896551724138,0.25,1,192529,NA
"307",0.0833333333333333,1.37931034482759e-08,0.0206896551724138,0.25,1,192529,NA
"308",0.25,1.37931034482759e-08,0.0206896551724138,0.25,1,192529,NA
"309",1,1.37931034482759e-08,0.0206896551724138,0.25,1,192529,NA
"310",192529,1.37931034482759e-08,0.0206896551724138,0.25,1,192529,NA
"311",5e-08,2.75862068965517e-08,0.0206896551724138,0.25,1,192529,NA
"312",0.0833333333333333,2.75862068965517e-08,0.0206896551724138,0.25,1,192529,NA
"313",0.25,2.75862068965517e-08,0.0206896551724138,0.25,1,192529,NA
"314",1,2.75862068965517e-08,0.0206896551724138,0.25,1,192529,NA
"315",192529,2.75862068965517e-08,0.0206896551724138,0.25,1,192529,NA
"316",5e-08,4.13793103448276e-08,0.0206896551724138,0.25,1,192529,NA
"317",0.0833333333333333,4.13793103448276e-08,0.0206896551724138,0.25,1,192529,NA
"318",0.25,4.13793103448276e-08,0.0206896551724138,0.25,1,192529,NA
"319",1,4.13793103448276e-08,0.0206896551724138,0.25,1,192529,NA
"320",192529,4.13793103448276e-08,0.0206896551724138,0.25,1,192529,NA
"321",5e-08,5.51724137931034e-08,0.0206896551724138,0.25,1,192529,NA
"322",0.0833333333333333,5.51724137931034e-08,0.0206896551724138,0.25,1,192529,NA
"323",0.25,5.51724137931034e-08,0.0206896551724138,0.25,1,192529,NA
"324",1,5.51724137931034e-08,0.0206896551724138,0.25,1,192529,NA
"325",192529,5.51724137931034e-08,0.0206896551724138,0.25,1,192529,NA
"326",5e-08,6.89655172413793e-08,0.0206896551724138,0.25,1,192529,NA
"327",0.0833333333333333,6.89655172413793e-08,0.0206896551724138,0.25,1,192529,NA
"328",0.25,6.89655172413793e-08,0.0206896551724138,0.25,1,192529,NA
"329",1,6.89655172413793e-08,0.0206896551724138,0.25,1,192529,NA
"330",192529,6.89655172413793e-08,0.0206896551724138,0.25,1,192529,NA
"331",5e-08,8.27586206896552e-08,0.0206896551724138,0.25,1,192529,NA
"332",0.0833333333333333,8.27586206896552e-08,0.0206896551724138,0.25,1,192529,NA
"333",0.25,8.27586206896552e-08,0.0206896551724138,0.25,1,192529,NA
"334",1,8.27586206896552e-08,0.0206896551724138,0.25,1,192529,NA
"335",192529,8.27586206896552e-08,0.0206896551724138,0.25,1,192529,NA
"336",5e-08,9.6551724137931e-08,0.0206896551724138,0.25,1,192529,NA
