"","center","Beta","mu_ID","mu_DS","rho","eta","N","loglik"
"165",0.75,3.72413793103448e-07,0,0.75,1,1,192529,NA
"166",1,3.72413793103448e-07,0,0.75,1,1,192529,NA
"167",1,3.72413793103448e-07,0,0.75,1,1,192529,NA
"168",192529,3.72413793103448e-07,0,0.75,1,1,192529,NA
"169",1.947758e-07,3.86206896551724e-07,0,0.75,1,1,192529,NA
"170",0.166666666666667,3.86206896551724e-07,0,0.75,1,1,192529,NA
"171",0.75,3.86206896551724e-07,0,0.75,1,1,192529,NA
"172",1,3.86206896551724e-07,0,0.75,1,1,192529,NA
"173",1,3.86206896551724e-07,0,0.75,1,1,192529,NA
"174",192529,3.86206896551724e-07,0,0.75,1,1,192529,NA
"175",1.947758e-07,4e-07,0,0.75,1,1,192529,NA
"176",0.166666666666667,4e-07,0,0.75,1,1,192529,NA
"177",0.75,4e-07,0,0.75,1,1,192529,NA
"178",1,4e-07,0,0.75,1,1,192529,NA
"179",1,4e-07,0,0.75,1,1,192529,NA
"180",192529,4e-07,0,0.75,1,1,192529,NA
"181",1.947758e-07,0,0.0103448275862069,0.75,1,1,192529,NA
"182",0.166666666666667,0,0.0103448275862069,0.75,1,1,192529,NA
"183",0.75,0,0.0103448275862069,0.75,1,1,192529,NA
"184",1,0,0.0103448275862069,0.75,1,1,192529,NA
"185",1,0,0.0103448275862069,0.75,1,1,192529,NA
"186",192529,0,0.0103448275862069,0.75,1,1,192529,NA
"187",1.947758e-07,1.37931034482759e-08,0.0103448275862069,0.75,1,1,192529,NA
"188",0.166666666666667,1.37931034482759e-08,0.0103448275862069,0.75,1,1,192529,NA
"189",0.75,1.37931034482759e-08,0.0103448275862069,0.75,1,1,192529,NA
"190",1,1.37931034482759e-08,0.0103448275862069,0.75,1,1,192529,NA
"191",1,1.37931034482759e-08,0.0103448275862069,0.75,1,1,192529,NA
"192",192529,1.37931034482759e-08,0.0103448275862069,0.75,1,1,192529,NA
"193",1.947758e-07,2.75862068965517e-08,0.0103448275862069,0.75,1,1,192529,NA
"194",0.166666666666667,2.75862068965517e-08,0.0103448275862069,0.75,1,1,192529,NA
"195",0.75,2.75862068965517e-08,0.0103448275862069,0.75,1,1,192529,NA
"196",1,2.75862068965517e-08,0.0103448275862069,0.75,1,1,192529,NA
"197",1,2.75862068965517e-08,0.0103448275862069,0.75,1,1,192529,NA
"198",192529,2.75862068965517e-08,0.0103448275862069,0.75,1,1,192529,NA
"199",1.947758e-07,4.13793103448276e-08,0.0103448275862069,0.75,1,1,192529,NA
"200",0.166666666666667,4.13793103448276e-08,0.0103448275862069,0.75,1,1,192529,NA
"201",0.75,4.13793103448276e-08,0.0103448275862069,0.75,1,1,192529,NA
"202",1,4.13793103448276e-08,0.0103448275862069,0.75,1,1,192529,NA
"203",1,4.13793103448276e-08,0.0103448275862069,0.75,1,1,192529,NA
"204",192529,4.13793103448276e-08,0.0103448275862069,0.75,1,1,192529,NA
"205",1.947758e-07,5.51724137931034e-08,0.0103448275862069,0.75,1,1,192529,NA
"206",0.166666666666667,5.51724137931034e-08,0.0103448275862069,0.75,1,1,192529,NA
"207",0.75,5.51724137931034e-08,0.0103448275862069,0.75,1,1,192529,NA
"208",1,5.51724137931034e-08,0.0103448275862069,0.75,1,1,192529,NA
"209",1,5.51724137931034e-08,0.0103448275862069,0.75,1,1,192529,NA
"210",192529,5.51724137931034e-08,0.0103448275862069,0.75,1,1,192529,NA
