"","center","Beta","mu_ID","mu_DS","eta","N","loglik"
"226",5e-08,2.63157894736842e-07,0.0842105263157895,0.25,1,192529,NA
"227",0.166666666666667,2.63157894736842e-07,0.0842105263157895,0.25,1,192529,NA
"228",0.25,2.63157894736842e-07,0.0842105263157895,0.25,1,192529,NA
"229",1,2.63157894736842e-07,0.0842105263157895,0.25,1,192529,NA
"230",192529,2.63157894736842e-07,0.0842105263157895,0.25,1,192529,NA
"231",5e-08,3.1578947368421e-07,0.0842105263157895,0.25,1,192529,NA
"232",0.166666666666667,3.1578947368421e-07,0.0842105263157895,0.25,1,192529,NA
"233",0.25,3.1578947368421e-07,0.0842105263157895,0.25,1,192529,NA
"234",1,3.1578947368421e-07,0.0842105263157895,0.25,1,192529,NA
"235",192529,3.1578947368421e-07,0.0842105263157895,0.25,1,192529,NA
"236",5e-08,3.68421052631579e-07,0.0842105263157895,0.25,1,192529,NA
"237",0.166666666666667,3.68421052631579e-07,0.0842105263157895,0.25,1,192529,NA
"238",0.25,3.68421052631579e-07,0.0842105263157895,0.25,1,192529,NA
"239",1,3.68421052631579e-07,0.0842105263157895,0.25,1,192529,NA
"240",192529,3.68421052631579e-07,0.0842105263157895,0.25,1,192529,NA
"241",5e-08,4.21052631578947e-07,0.0842105263157895,0.25,1,192529,NA
"242",0.166666666666667,4.21052631578947e-07,0.0842105263157895,0.25,1,192529,NA
"243",0.25,4.21052631578947e-07,0.0842105263157895,0.25,1,192529,NA
"244",1,4.21052631578947e-07,0.0842105263157895,0.25,1,192529,NA
"245",192529,4.21052631578947e-07,0.0842105263157895,0.25,1,192529,NA
"246",5e-08,4.73684210526316e-07,0.0842105263157895,0.25,1,192529,NA
"247",0.166666666666667,4.73684210526316e-07,0.0842105263157895,0.25,1,192529,NA
"248",0.25,4.73684210526316e-07,0.0842105263157895,0.25,1,192529,NA
"249",1,4.73684210526316e-07,0.0842105263157895,0.25,1,192529,NA
"250",192529,4.73684210526316e-07,0.0842105263157895,0.25,1,192529,NA
"251",5e-08,5.26315789473684e-07,0.0842105263157895,0.25,1,192529,NA
"252",0.166666666666667,5.26315789473684e-07,0.0842105263157895,0.25,1,192529,NA
"253",0.25,5.26315789473684e-07,0.0842105263157895,0.25,1,192529,NA
"254",1,5.26315789473684e-07,0.0842105263157895,0.25,1,192529,NA
"255",192529,5.26315789473684e-07,0.0842105263157895,0.25,1,192529,NA
"256",5e-08,5.78947368421053e-07,0.0842105263157895,0.25,1,192529,NA
"257",0.166666666666667,5.78947368421053e-07,0.0842105263157895,0.25,1,192529,NA
"258",0.25,5.78947368421053e-07,0.0842105263157895,0.25,1,192529,NA
"259",1,5.78947368421053e-07,0.0842105263157895,0.25,1,192529,NA
